protocol,fold_id,split,n_rows,n_recording_id,n_base_recording_id,n_health_labels,health_label_counts,fault_family_counts,condition_counts
nln_emp_leave_one_speed_out,test_speed_75,train,153,153,78,2,"{'fault': 129, 'healthy': 24}","{'healthy': 24, 'misalignment': 22, 'cavitation': 14, 'unbalance': 14, 'looseness_soft_foot': 13, 'bearing_outer_race': 12, 'impeller_fault': 10, 'bearing_ball': 8, 'coupling_fault': 8, 'bearing_inner_race': 7, 'stator_winding_fault': 7, 'bearing_ball_spin': 4, 'bearing_contamination': 4, 'rotor_fault': 4, 'bent_shaft': 2}","{'motor_4_speed_70': 68, 'motor_2_speed_100': 45, 'motor_2_speed_50': 40}"
nln_emp_leave_one_speed_out,test_speed_75,val,27,27,14,2,"{'fault': 23, 'healthy': 4}","{'bearing_inner_race': 4, 'bearing_ball': 4, 'healthy': 4, 'misalignment': 4, 'unbalance': 4, 'cavitation': 3, 'looseness_soft_foot': 2, 'impeller_fault': 2}","{'motor_4_speed_70': 11, 'motor_2_speed_50': 10, 'motor_2_speed_100': 6}"
paderborn_artificial_to_natural,artificial_to_real_damage,test,1280,1280,1280,2,"{'fault': 1120, 'healthy': 160}","{'bearing_real_damage': 1120, 'healthy': 160}","{'n09_m07_f10': 320, 'n15_m01_f10': 320, 'n15_m07_f04': 320, 'n15_m07_f10': 320}"
paderborn_artificial_to_natural,artificial_to_real_damage,train,1087,1087,1087,2,"{'fault': 817, 'healthy': 270}","{'bearing_artificial_damage': 817, 'healthy': 270}","{'n15_m07_f04': 287, 'n15_m01_f10': 274, 'n09_m07_f10': 264, 'n15_m07_f10': 262}"
paderborn_artificial_to_natural,artificial_to_real_damage,val,192,192,192,2,"{'fault': 142, 'healthy': 50}","{'bearing_artificial_damage': 142, 'healthy': 50}","{'n15_m07_f10': 58, 'n09_m07_f10': 56, 'n15_m01_f10': 45, 'n15_m07_f04': 33}"
paderborn_condition_generalization,test_condition_n09_m07_f10,test,640,640,640,2,"{'fault': 520, 'healthy': 120}","{'bearing_real_damage': 280, 'bearing_artificial_damage': 240, 'healthy': 120}",{'n09_m07_f10': 640}
paderborn_condition_generalization,test_condition_n09_m07_f10,train,1631,1631,1631,2,"{'fault': 1330, 'healthy': 301}","{'bearing_real_damage': 717, 'bearing_artificial_damage': 613, 'healthy': 301}","{'n15_m07_f04': 557, 'n15_m07_f10': 542, 'n15_m01_f10': 532}"
paderborn_condition_generalization,test_condition_n09_m07_f10,val,288,288,288,2,"{'fault': 229, 'healthy': 59}","{'bearing_real_damage': 123, 'bearing_artificial_damage': 106, 'healthy': 59}","{'n15_m01_f10': 107, 'n15_m07_f10': 98, 'n15_m07_f04': 83}"
paderborn_condition_generalization,test_condition_n15_m01_f10,test,639,639,639,2,"{'fault': 519, 'healthy': 120}","{'bearing_real_damage': 280, 'bearing_artificial_damage': 239, 'healthy': 120}",{'n15_m01_f10': 639}
paderborn_condition_generalization,test_condition_n15_m01_f10,train,1632,1632,1632,2,"{'fault': 1332, 'healthy': 300}","{'bearing_real_damage': 722, 'bearing_artificial_damage': 610, 'healthy': 300}","{'n15_m07_f04': 551, 'n15_m07_f10': 544, 'n09_m07_f10': 537}"
paderborn_condition_generalization,test_condition_n15_m01_f10,val,288,288,288,2,"{'fault': 228, 'healthy': 60}","{'bearing_real_damage': 118, 'bearing_artificial_damage': 110, 'healthy': 60}","{'n09_m07_f10': 103, 'n15_m07_f10': 96, 'n15_m07_f04': 89}"
paderborn_condition_generalization,test_condition_n15_m07_f04,test,640,640,640,2,"{'fault': 520, 'healthy': 120}","{'bearing_real_damage': 280, 'bearing_artificial_damage': 240, 'healthy': 120}",{'n15_m07_f04': 640}
paderborn_condition_generalization,test_condition_n15_m07_f04,train,1631,1631,1631,2,"{'fault': 1330, 'healthy': 301}","{'bearing_real_damage': 717, 'bearing_artificial_damage': 613, 'healthy': 301}","{'n15_m01_f10': 556, 'n15_m07_f10': 542, 'n09_m07_f10': 533}"
paderborn_condition_generalization,test_condition_n15_m07_f04,val,288,288,288,2,"{'fault': 229, 'healthy': 59}","{'bearing_real_damage': 123, 'bearing_artificial_damage': 106, 'healthy': 59}","{'n09_m07_f10': 107, 'n15_m07_f10': 98, 'n15_m01_f10': 83}"
paderborn_condition_generalization,test_condition_n15_m07_f10,test,640,640,640,2,"{'fault': 520, 'healthy': 120}","{'bearing_real_damage': 280, 'bearing_artificial_damage': 240, 'healthy': 120}",{'n15_m07_f10': 640}
paderborn_condition_generalization,test_condition_n15_m07_f10,train,1631,1631,1631,2,"{'fault': 1330, 'healthy': 301}","{'bearing_real_damage': 717, 'bearing_artificial_damage': 613, 'healthy': 301}","{'n15_m01_f10': 556, 'n15_m07_f04': 542, 'n09_m07_f10': 533}"
paderborn_condition_generalization,test_condition_n15_m07_f10,val,288,288,288,2,"{'fault': 229, 'healthy': 59}","{'bearing_real_damage': 123, 'bearing_artificial_damage': 106, 'healthy': 59}","{'n09_m07_f10': 107, 'n15_m07_f04': 98, 'n15_m01_f10': 83}"
