protocol,fold_id,dataset,recording_id,base_recording_id,split,machine_id,sensor_type,sensor_types_present,speed,load,operating_condition_id,fault_family,severity,health_label,damage_source,run_id,source_path,exclude_from_training,notes
cwru_leave_one_load_out,test_load_0,cwru,cwru_or007_6_3_133_vibration,cwru_or007_6_3_133,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_outer_race,007,fault,seeded_fault,133,data/raw/cwru/raw/OR007_6_3_133.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_0,cwru,cwru_time_normal_3_100_vibration,cwru_time_normal_3_100,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,healthy,0,healthy,healthy,100,data/raw/cwru/raw/Time_Normal_3_100.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_0,cwru,cwru_b007_0_118_vibration,cwru_b007_0_118,test,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_ball,007,fault,seeded_fault,118,data/raw/cwru/raw/B007_0_118.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_ir007_0_105_vibration,cwru_ir007_0_105,test,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_inner_race,007,fault,seeded_fault,105,data/raw/cwru/raw/IR007_0_105.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_or007_6_0_130_vibration,cwru_or007_6_0_130,test,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_outer_race,007,fault,seeded_fault,130,data/raw/cwru/raw/OR007_6_0_130.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_0,cwru,cwru_time_normal_0_97_vibration,cwru_time_normal_0_97,test,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,healthy,0,healthy,healthy,97,data/raw/cwru/raw/Time_Normal_0_97.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_1,cwru,cwru_b007_0_118_vibration,cwru_b007_0_118,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_ball,007,fault,seeded_fault,118,data/raw/cwru/raw/B007_0_118.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_ir007_0_105_vibration,cwru_ir007_0_105,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_inner_race,007,fault,seeded_fault,105,data/raw/cwru/raw/IR007_0_105.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_or007_6_0_130_vibration,cwru_or007_6_0_130,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_outer_race,007,fault,seeded_fault,130,data/raw/cwru/raw/OR007_6_0_130.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_1,cwru,cwru_time_normal_0_97_vibration,cwru_time_normal_0_97,val,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,healthy,0,healthy,healthy,97,data/raw/cwru/raw/Time_Normal_0_97.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_1,cwru,cwru_b007_2_120_vibration,cwru_b007_2_120,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_ball,007,fault,seeded_fault,120,data/raw/cwru/raw/B007_2_120.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_ir007_2_107_vibration,cwru_ir007_2_107,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_inner_race,007,fault,seeded_fault,107,data/raw/cwru/raw/IR007_2_107.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_or007_6_2_132_vibration,cwru_or007_6_2_132,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_outer_race,007,fault,seeded_fault,132,data/raw/cwru/raw/OR007_6_2_132.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_1,cwru,cwru_time_normal_2_99_vibration,cwru_time_normal_2_99,val,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,healthy,0,healthy,healthy,99,data/raw/cwru/raw/Time_Normal_2_99.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_1,cwru,cwru_b007_3_121_vibration,cwru_b007_3_121,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_ball,007,fault,seeded_fault,121,data/raw/cwru/raw/B007_3_121.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_ir007_3_108_vibration,cwru_ir007_3_108,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_inner_race,007,fault,seeded_fault,108,data/raw/cwru/raw/IR007_3_108.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_or007_6_3_133_vibration,cwru_or007_6_3_133,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_outer_race,007,fault,seeded_fault,133,data/raw/cwru/raw/OR007_6_3_133.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_1,cwru,cwru_time_normal_3_100_vibration,cwru_time_normal_3_100,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,healthy,0,healthy,healthy,100,data/raw/cwru/raw/Time_Normal_3_100.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_1,cwru,cwru_b007_1_119_vibration,cwru_b007_1_119,test,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_ball,007,fault,seeded_fault,119,data/raw/cwru/raw/B007_1_119.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_ir007_1_106_vibration,cwru_ir007_1_106,test,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_inner_race,007,fault,seeded_fault,106,data/raw/cwru/raw/IR007_1_106.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_1,cwru,cwru_or007_6_1_131_vibration,cwru_or007_6_1_131,test,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_outer_race,007,fault,seeded_fault,131,data/raw/cwru/raw/OR007_6_1_131.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_1,cwru,cwru_time_normal_1_98_vibration,cwru_time_normal_1_98,test,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,healthy,0,healthy,healthy,98,data/raw/cwru/raw/Time_Normal_1_98.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_2,cwru,cwru_b007_0_118_vibration,cwru_b007_0_118,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_ball,007,fault,seeded_fault,118,data/raw/cwru/raw/B007_0_118.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_ir007_0_105_vibration,cwru_ir007_0_105,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_inner_race,007,fault,seeded_fault,105,data/raw/cwru/raw/IR007_0_105.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_or007_6_0_130_vibration,cwru_or007_6_0_130,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_outer_race,007,fault,seeded_fault,130,data/raw/cwru/raw/OR007_6_0_130.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_2,cwru,cwru_time_normal_0_97_vibration,cwru_time_normal_0_97,val,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,healthy,0,healthy,healthy,97,data/raw/cwru/raw/Time_Normal_0_97.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_2,cwru,cwru_b007_1_119_vibration,cwru_b007_1_119,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_ball,007,fault,seeded_fault,119,data/raw/cwru/raw/B007_1_119.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_ir007_1_106_vibration,cwru_ir007_1_106,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_inner_race,007,fault,seeded_fault,106,data/raw/cwru/raw/IR007_1_106.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_or007_6_1_131_vibration,cwru_or007_6_1_131,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_outer_race,007,fault,seeded_fault,131,data/raw/cwru/raw/OR007_6_1_131.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_2,cwru,cwru_time_normal_1_98_vibration,cwru_time_normal_1_98,val,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,healthy,0,healthy,healthy,98,data/raw/cwru/raw/Time_Normal_1_98.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_2,cwru,cwru_b007_3_121_vibration,cwru_b007_3_121,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_ball,007,fault,seeded_fault,121,data/raw/cwru/raw/B007_3_121.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_ir007_3_108_vibration,cwru_ir007_3_108,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_inner_race,007,fault,seeded_fault,108,data/raw/cwru/raw/IR007_3_108.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_or007_6_3_133_vibration,cwru_or007_6_3_133,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_outer_race,007,fault,seeded_fault,133,data/raw/cwru/raw/OR007_6_3_133.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_2,cwru,cwru_time_normal_3_100_vibration,cwru_time_normal_3_100,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,healthy,0,healthy,healthy,100,data/raw/cwru/raw/Time_Normal_3_100.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_2,cwru,cwru_b007_2_120_vibration,cwru_b007_2_120,test,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_ball,007,fault,seeded_fault,120,data/raw/cwru/raw/B007_2_120.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_ir007_2_107_vibration,cwru_ir007_2_107,test,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_inner_race,007,fault,seeded_fault,107,data/raw/cwru/raw/IR007_2_107.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_2,cwru,cwru_or007_6_2_132_vibration,cwru_or007_6_2_132,test,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_outer_race,007,fault,seeded_fault,132,data/raw/cwru/raw/OR007_6_2_132.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_2,cwru,cwru_time_normal_2_99_vibration,cwru_time_normal_2_99,test,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,healthy,0,healthy,healthy,99,data/raw/cwru/raw/Time_Normal_2_99.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_3,cwru,cwru_b007_0_118_vibration,cwru_b007_0_118,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_ball,007,fault,seeded_fault,118,data/raw/cwru/raw/B007_0_118.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_ir007_0_105_vibration,cwru_ir007_0_105,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_inner_race,007,fault,seeded_fault,105,data/raw/cwru/raw/IR007_0_105.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_or007_6_0_130_vibration,cwru_or007_6_0_130,train,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,bearing_outer_race,007,fault,seeded_fault,130,data/raw/cwru/raw/OR007_6_0_130.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_3,cwru,cwru_time_normal_0_97_vibration,cwru_time_normal_0_97,val,cwru_bearing_rig,vibration,vibration,unknown,0,load_0,healthy,0,healthy,healthy,97,data/raw/cwru/raw/Time_Normal_0_97.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_3,cwru,cwru_b007_1_119_vibration,cwru_b007_1_119,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_ball,007,fault,seeded_fault,119,data/raw/cwru/raw/B007_1_119.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_ir007_1_106_vibration,cwru_ir007_1_106,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_inner_race,007,fault,seeded_fault,106,data/raw/cwru/raw/IR007_1_106.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_or007_6_1_131_vibration,cwru_or007_6_1_131,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_outer_race,007,fault,seeded_fault,131,data/raw/cwru/raw/OR007_6_1_131.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_3,cwru,cwru_time_normal_1_98_vibration,cwru_time_normal_1_98,val,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,healthy,0,healthy,healthy,98,data/raw/cwru/raw/Time_Normal_1_98.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_3,cwru,cwru_b007_2_120_vibration,cwru_b007_2_120,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_ball,007,fault,seeded_fault,120,data/raw/cwru/raw/B007_2_120.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_ir007_2_107_vibration,cwru_ir007_2_107,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_inner_race,007,fault,seeded_fault,107,data/raw/cwru/raw/IR007_2_107.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_or007_6_2_132_vibration,cwru_or007_6_2_132,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_outer_race,007,fault,seeded_fault,132,data/raw/cwru/raw/OR007_6_2_132.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_3,cwru,cwru_time_normal_2_99_vibration,cwru_time_normal_2_99,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,healthy,0,healthy,healthy,99,data/raw/cwru/raw/Time_Normal_2_99.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_3,cwru,cwru_b007_3_121_vibration,cwru_b007_3_121,test,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_ball,007,fault,seeded_fault,121,data/raw/cwru/raw/B007_3_121.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_ir007_3_108_vibration,cwru_ir007_3_108,test,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_inner_race,007,fault,seeded_fault,108,data/raw/cwru/raw/IR007_3_108.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_3,cwru,cwru_or007_6_3_133_vibration,cwru_or007_6_3_133,test,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_outer_race,007,fault,seeded_fault,133,data/raw/cwru/raw/OR007_6_3_133.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_3,cwru,cwru_time_normal_3_100_vibration,cwru_time_normal_3_100,test,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,healthy,0,healthy,healthy,100,data/raw/cwru/raw/Time_Normal_3_100.mat,False,cwru_raw_mat
