dataset,machine_id,recording_id,base_recording_id,sensor_type,sensor_types_present,speed,speed_rpm,load,pressure_bar,flow_m3h,operating_condition_id,fault_family,severity,health_label,original_label,damage_source,run_id,source_path,source_files,n_source_files,mat_top_level_key,mat_signal_keys,mat_channel_names,is_readable,exclude_from_training,notes
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfi_2_current,nln_emp_motor_2_100_bearing_bpfi_2,current,current,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_inner_race,2,fault,bearing bpfi 2,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 2/Electric_Motor-2_100_time-bearing bpfi 2-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 2/Electric_Motor-2_100_time-bearing bpfi 2-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 2/Electric_Motor-2_100_time-bearing bpfi 2-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 2/Electric_Motor-2_100_time-bearing bpfi 2-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 2/Electric_Motor-2_100_time-bearing bpfi 2-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 2/Electric_Motor-2_100_time-bearing bpfi 2-ch6.csv,Electric_Motor-2_100_time-bearing bpfi 2-ch1.csv|Electric_Motor-2_100_time-bearing bpfi 2-ch2.csv|Electric_Motor-2_100_time-bearing bpfi 2-ch3.csv|Electric_Motor-2_100_time-bearing bpfi 2-ch4.csv|Electric_Motor-2_100_time-bearing bpfi 2-ch5.csv|Electric_Motor-2_100_time-bearing bpfi 2-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfi_2_vibration,nln_emp_motor_2_100_bearing_bpfi_2,vibration,vibration,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_inner_race,2,fault,bearing bpfi 2,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 2/Vibration_Motor-2_100_time-bearing bpfi 2-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 2/Vibration_Motor-2_100_time-bearing bpfi 2-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 2/Vibration_Motor-2_100_time-bearing bpfi 2-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 2/Vibration_Motor-2_100_time-bearing bpfi 2-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 2/Vibration_Motor-2_100_time-bearing bpfi 2-ch5.csv,Vibration_Motor-2_100_time-bearing bpfi 2-ch1.csv|Vibration_Motor-2_100_time-bearing bpfi 2-ch2.csv|Vibration_Motor-2_100_time-bearing bpfi 2-ch3.csv|Vibration_Motor-2_100_time-bearing bpfi 2-ch4.csv|Vibration_Motor-2_100_time-bearing bpfi 2-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfi_3_current,nln_emp_motor_2_100_bearing_bpfi_3,current,current,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_inner_race,2,fault,bearing bpfi 3,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 3/Electric_Motor-2_100_time-bearing bpfi 3-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 3/Electric_Motor-2_100_time-bearing bpfi 3-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 3/Electric_Motor-2_100_time-bearing bpfi 3-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 3/Electric_Motor-2_100_time-bearing bpfi 3-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 3/Electric_Motor-2_100_time-bearing bpfi 3-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 3/Electric_Motor-2_100_time-bearing bpfi 3-ch6.csv,Electric_Motor-2_100_time-bearing bpfi 3-ch1.csv|Electric_Motor-2_100_time-bearing bpfi 3-ch2.csv|Electric_Motor-2_100_time-bearing bpfi 3-ch3.csv|Electric_Motor-2_100_time-bearing bpfi 3-ch4.csv|Electric_Motor-2_100_time-bearing bpfi 3-ch5.csv|Electric_Motor-2_100_time-bearing bpfi 3-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfi_3_vibration,nln_emp_motor_2_100_bearing_bpfi_3,vibration,vibration,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_inner_race,2,fault,bearing bpfi 3,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 3/Vibration_Motor-2_100_time-bearing bpfi 3-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 3/Vibration_Motor-2_100_time-bearing bpfi 3-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 3/Vibration_Motor-2_100_time-bearing bpfi 3-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 3/Vibration_Motor-2_100_time-bearing bpfi 3-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 3/Vibration_Motor-2_100_time-bearing bpfi 3-ch5.csv,Vibration_Motor-2_100_time-bearing bpfi 3-ch1.csv|Vibration_Motor-2_100_time-bearing bpfi 3-ch2.csv|Vibration_Motor-2_100_time-bearing bpfi 3-ch3.csv|Vibration_Motor-2_100_time-bearing bpfi 3-ch4.csv|Vibration_Motor-2_100_time-bearing bpfi 3-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfo_1_current,nln_emp_motor_2_100_bearing_bpfo_1,current,current,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_outer_race,1,fault,bearing bpfo 1,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 1/Electric_Motor-2_100_time-bearing bpfo 1-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 1/Electric_Motor-2_100_time-bearing bpfo 1-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 1/Electric_Motor-2_100_time-bearing bpfo 1-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 1/Electric_Motor-2_100_time-bearing bpfo 1-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 1/Electric_Motor-2_100_time-bearing bpfo 1-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 1/Electric_Motor-2_100_time-bearing bpfo 1-ch6.csv,Electric_Motor-2_100_time-bearing bpfo 1-ch1.csv|Electric_Motor-2_100_time-bearing bpfo 1-ch2.csv|Electric_Motor-2_100_time-bearing bpfo 1-ch3.csv|Electric_Motor-2_100_time-bearing bpfo 1-ch4.csv|Electric_Motor-2_100_time-bearing bpfo 1-ch5.csv|Electric_Motor-2_100_time-bearing bpfo 1-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfo_1_vibration,nln_emp_motor_2_100_bearing_bpfo_1,vibration,vibration,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_outer_race,1,fault,bearing bpfo 1,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 1/Vibration_Motor-2_100_time-bearing bpfo 1-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 1/Vibration_Motor-2_100_time-bearing bpfo 1-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 1/Vibration_Motor-2_100_time-bearing bpfo 1-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 1/Vibration_Motor-2_100_time-bearing bpfo 1-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 1/Vibration_Motor-2_100_time-bearing bpfo 1-ch5.csv,Vibration_Motor-2_100_time-bearing bpfo 1-ch1.csv|Vibration_Motor-2_100_time-bearing bpfo 1-ch2.csv|Vibration_Motor-2_100_time-bearing bpfo 1-ch3.csv|Vibration_Motor-2_100_time-bearing bpfo 1-ch4.csv|Vibration_Motor-2_100_time-bearing bpfo 1-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfo_2_current,nln_emp_motor_2_100_bearing_bpfo_2,current,current,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_outer_race,1,fault,bearing bpfo 2,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 2/Electric_Motor-2_100_time-bearing bpfo 2-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 2/Electric_Motor-2_100_time-bearing bpfo 2-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 2/Electric_Motor-2_100_time-bearing bpfo 2-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 2/Electric_Motor-2_100_time-bearing bpfo 2-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 2/Electric_Motor-2_100_time-bearing bpfo 2-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 2/Electric_Motor-2_100_time-bearing bpfo 2-ch6.csv,Electric_Motor-2_100_time-bearing bpfo 2-ch1.csv|Electric_Motor-2_100_time-bearing bpfo 2-ch2.csv|Electric_Motor-2_100_time-bearing bpfo 2-ch3.csv|Electric_Motor-2_100_time-bearing bpfo 2-ch4.csv|Electric_Motor-2_100_time-bearing bpfo 2-ch5.csv|Electric_Motor-2_100_time-bearing bpfo 2-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfo_2_vibration,nln_emp_motor_2_100_bearing_bpfo_2,vibration,vibration,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_outer_race,1,fault,bearing bpfo 2,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 2/Vibration_Motor-2_100_time-bearing bpfo 2-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 2/Vibration_Motor-2_100_time-bearing bpfo 2-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 2/Vibration_Motor-2_100_time-bearing bpfo 2-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 2/Vibration_Motor-2_100_time-bearing bpfo 2-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 2/Vibration_Motor-2_100_time-bearing bpfo 2-ch5.csv,Vibration_Motor-2_100_time-bearing bpfo 2-ch1.csv|Vibration_Motor-2_100_time-bearing bpfo 2-ch2.csv|Vibration_Motor-2_100_time-bearing bpfo 2-ch3.csv|Vibration_Motor-2_100_time-bearing bpfo 2-ch4.csv|Vibration_Motor-2_100_time-bearing bpfo 2-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfo_3_current,nln_emp_motor_2_100_bearing_bpfo_3,current,current,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_outer_race,1,fault,bearing bpfo 3,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 3/Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 3/Electric_Motor-2_100_time-bearing bpfo 3-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 3/Electric_Motor-2_100_time-bearing bpfo 3-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 3/Electric_Motor-2_100_time-bearing bpfo 3-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 3/Electric_Motor-2_100_time-bearing bpfo 3-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfo 3/Electric_Motor-2_100_time-bearing bpfo 3-ch6.csv,Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv|Electric_Motor-2_100_time-bearing bpfo 3-ch2.csv|Electric_Motor-2_100_time-bearing bpfo 3-ch3.csv|Electric_Motor-2_100_time-bearing bpfo 3-ch4.csv|Electric_Motor-2_100_time-bearing bpfo 3-ch5.csv|Electric_Motor-2_100_time-bearing bpfo 3-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfo_3_vibration,nln_emp_motor_2_100_bearing_bpfo_3,vibration,vibration,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_outer_race,1,fault,bearing bpfo 3,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 3/Vibration_Motor-2_100_time-bearing bpfo 3-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 3/Vibration_Motor-2_100_time-bearing bpfo 3-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 3/Vibration_Motor-2_100_time-bearing bpfo 3-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 3/Vibration_Motor-2_100_time-bearing bpfo 3-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfo 3/Vibration_Motor-2_100_time-bearing bpfo 3-ch5.csv,Vibration_Motor-2_100_time-bearing bpfo 3-ch1.csv|Vibration_Motor-2_100_time-bearing bpfo 3-ch2.csv|Vibration_Motor-2_100_time-bearing bpfo 3-ch3.csv|Vibration_Motor-2_100_time-bearing bpfo 3-ch4.csv|Vibration_Motor-2_100_time-bearing bpfo 3-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bsf_current,nln_emp_motor_2_100_bearing_bsf,current,current,100,740,unknown,0.1,70,motor_2_speed_100,bearing_ball_spin,unknown,fault,bearing bsf,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bsf/Electric_Motor-2_100_time-bearing bsf-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bsf/Electric_Motor-2_100_time-bearing bsf-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bsf/Electric_Motor-2_100_time-bearing bsf-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bsf/Electric_Motor-2_100_time-bearing bsf-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bsf/Electric_Motor-2_100_time-bearing bsf-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bsf/Electric_Motor-2_100_time-bearing bsf-ch6.csv,Electric_Motor-2_100_time-bearing bsf-ch1.csv|Electric_Motor-2_100_time-bearing bsf-ch2.csv|Electric_Motor-2_100_time-bearing bsf-ch3.csv|Electric_Motor-2_100_time-bearing bsf-ch4.csv|Electric_Motor-2_100_time-bearing bsf-ch5.csv|Electric_Motor-2_100_time-bearing bsf-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bsf_vibration,nln_emp_motor_2_100_bearing_bsf,vibration,vibration,100,740,unknown,0.1,70,motor_2_speed_100,bearing_ball_spin,unknown,fault,bearing bsf,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bsf/Vibration_Motor-2_100_time-bearing bsf-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bsf/Vibration_Motor-2_100_time-bearing bsf-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bsf/Vibration_Motor-2_100_time-bearing bsf-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bsf/Vibration_Motor-2_100_time-bearing bsf-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bsf/Vibration_Motor-2_100_time-bearing bsf-ch5.csv,Vibration_Motor-2_100_time-bearing bsf-ch1.csv|Vibration_Motor-2_100_time-bearing bsf-ch2.csv|Vibration_Motor-2_100_time-bearing bsf-ch3.csv|Vibration_Motor-2_100_time-bearing bsf-ch4.csv|Vibration_Motor-2_100_time-bearing bsf-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_contaminated_current,nln_emp_motor_2_100_bearing_contaminated,current,current,100,1110,unknown,0.7,105,motor_2_speed_100,bearing_contamination,unknown,fault,bearing contaminated,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing contaminated/Electric_Motor-2_100_time-bearing contaminated-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing contaminated/Electric_Motor-2_100_time-bearing contaminated-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing contaminated/Electric_Motor-2_100_time-bearing contaminated-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing contaminated/Electric_Motor-2_100_time-bearing contaminated-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing contaminated/Electric_Motor-2_100_time-bearing contaminated-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing contaminated/Electric_Motor-2_100_time-bearing contaminated-ch6.csv,Electric_Motor-2_100_time-bearing contaminated-ch1.csv|Electric_Motor-2_100_time-bearing contaminated-ch2.csv|Electric_Motor-2_100_time-bearing contaminated-ch3.csv|Electric_Motor-2_100_time-bearing contaminated-ch4.csv|Electric_Motor-2_100_time-bearing contaminated-ch5.csv|Electric_Motor-2_100_time-bearing contaminated-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
