dataset,original_filename,absolute_path,relative_path,extension,file_size,checksum_sha256,likely_sensor_type,candidate_recording_id,notes
cwru,OR021_6_1_239.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/OR021_6_1_239.mat,data/raw/cwru/raw/OR021_6_1_239.mat,mat,7826336,4ba7dc55258359577a68f6de5c0ff6675776d2b2c30d691dd4d71640e34834af,vibration,or021_6_1_239,cwru_mat_recording
cwru,Time_Normal_1_098.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/Time_Normal_1_098.mat,data/raw/cwru/raw/Time_Normal_1_098.mat,mat,7742720,37e6612c05e65c415dcfa2ab27a3fda648a5863160fa898b884a14743044e045,vibration,time_normal_1_098,cwru_mat_recording
nln_emp,Motor_MG160MA_datasheet.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Other/Datasheets/Motor_MG160MA_datasheet.pdf,data/raw/nln_emp/Appendices/Other/Datasheets/Motor_MG160MA_datasheet.pdf,pdf,1393629,9ac1321499a6383b7a42c199dc62cdb9b3f1811e1efb6e60c7db9eab4f846ad4,metadata_or_documentation,motor_mg160ma_datasheet,documentation_or_metadata_file
nln_emp,Motor_MG180MB_datasheet.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Other/Datasheets/Motor_MG180MB_datasheet.pdf,data/raw/nln_emp/Appendices/Other/Datasheets/Motor_MG180MB_datasheet.pdf,pdf,736171,87f8ac84ae1ed4d4f0cdd4179a12d88460299d734c8760f199297988e7fab79a,metadata_or_documentation,motor_mg180mb_datasheet,documentation_or_metadata_file
nln_emp,Pump_NK80-160_datasheet.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Other/Datasheets/Pump_NK80-160_datasheet.pdf,data/raw/nln_emp/Appendices/Other/Datasheets/Pump_NK80-160_datasheet.pdf,pdf,813331,fb652dd146c91dd63c05d6e7730361f379b6609d87708df216ec5003c5ab2938,metadata_or_documentation,pump_nk80_160_datasheet,documentation_or_metadata_file
nln_emp,Pump_NK80-250_datasheet.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Other/Datasheets/Pump_NK80-250_datasheet.pdf,data/raw/nln_emp/Appendices/Other/Datasheets/Pump_NK80-250_datasheet.pdf,pdf,808178,2c5caba7d9d2b27abda6a6f877f7eaaf1542dc3a721f04b0e9d85f2b4a1272f1,metadata_or_documentation,pump_nk80_250_datasheet,documentation_or_metadata_file
nln_emp,measurement overview.xlsx,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Other/measurement overview.xlsx,data/raw/nln_emp/Appendices/Other/measurement overview.xlsx,xlsx,24268,3801d821f13d80d7bb8c6b86ce01d9f953732b520979bb4a12dabff1e00c8b76,metadata_or_documentation,measurement_overview,documentation_or_metadata_file
nln_emp,Nr 1 - Motor 2 Heatlhy 1  7-7-20 10.22.04.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 1 - Motor 2 Heatlhy 1  7-7-20 10.22.04.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 1 - Motor 2 Heatlhy 1  7-7-20 10.22.04.pdf,pdf,390600,7d099e9a577b5caf3811906c328273d0f3a78c8b54cc3d434d14cda5753744f5,metadata_or_documentation,nr_1_motor_2_heatlhy_1_7_7_20_10_22,documentation_or_metadata_file
nln_emp,Nr 10 - Motor 2 bearing contaminated 27-7-20 15.06.58.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 10 - Motor 2 bearing contaminated 27-7-20 15.06.58.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 10 - Motor 2 bearing contaminated 27-7-20 15.06.58.pdf,pdf,315461,876baadc2c711fbc6bc90eb1791de217ec67a9b70bbbf346bee4ca6ad02056d9,metadata_or_documentation,nr_10_motor_2_bearing_contaminated_27_7_20_15_06,documentation_or_metadata_file
nln_emp,Nr 11 - Motor 2 BSF 29-7-20 12.55.57.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 11 - Motor 2 BSF 29-7-20 12.55.57.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 11 - Motor 2 BSF 29-7-20 12.55.57.pdf,pdf,322235,b6f400f9db5926b7cc6dd8ee173c4bcc6d8b5f192650235d1944f3577dc5e989,metadata_or_documentation,nr_11_motor_2_bsf_29_7_20_12_55,documentation_or_metadata_file
nln_emp,Nr 12 - Motor 2 Soft-foot 1 29-7-20 16.46.59.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 12 - Motor 2 Soft-foot 1 29-7-20 16.46.59.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 12 - Motor 2 Soft-foot 1 29-7-20 16.46.59.pdf,pdf,483642,329642a96259c70fd04a0315f3df05e03173da23d7cb6888b955917fa771c41f,metadata_or_documentation,nr_12_motor_2_soft_foot_1_29_7_20_16_46,documentation_or_metadata_file
nln_emp,Nr 13 - Motor 2 Soft-foot 2 30-7-20 9.57.31.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 13 - Motor 2 Soft-foot 2 30-7-20 9.57.31.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 13 - Motor 2 Soft-foot 2 30-7-20 9.57.31.pdf,pdf,335029,a69ab294053559761718a72dffb3694fdf8b8d5dad04aba3b12751967c9e5654,metadata_or_documentation,nr_13_motor_2_soft_foot_2_30_7_20_9_57,documentation_or_metadata_file
nln_emp,Nr 14 - Motor 2 After Soft-foot 30-7-20 12.10.30.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 14 - Motor 2 After Soft-foot 30-7-20 12.10.30.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 14 - Motor 2 After Soft-foot 30-7-20 12.10.30.pdf,pdf,324313,e8414ace1c529b7cba26680ea828de8b608428f7edd4c2ffc43c07982cbf2960,metadata_or_documentation,nr_14_motor_2_after_soft_foot_30_7_20_12_10,documentation_or_metadata_file
nln_emp,Nr 15 - Motor 2 Loose foot pump 30-7-20 14..pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 15 - Motor 2 Loose foot pump 30-7-20 14..pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 15 - Motor 2 Loose foot pump 30-7-20 14..pdf,pdf,317478,ba1295d79eb2f66dd0a3125e6cd3367f95a6da6386f206de6997e66ca324861f,metadata_or_documentation,nr_15_motor_2_loose_foot_pump_30_7_20_14,documentation_or_metadata_file
nln_emp,Nr 16 - Motor 2 Broken rotor bar 3-8-20 12.10.56.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 16 - Motor 2 Broken rotor bar 3-8-20 12.10.56.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 16 - Motor 2 Broken rotor bar 3-8-20 12.10.56.pdf,pdf,336366,296664da235b77a00fce7d0b6717aa85e6bd6fcf38eed73a11b526b05b3f79c2,metadata_or_documentation,nr_16_motor_2_broken_rotor_bar_3_8_20_12_10,documentation_or_metadata_file
nln_emp,Nr 17 - Motor 2 Winding short 4-8-20 10.34.33.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 17 - Motor 2 Winding short 4-8-20 10.34.33.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 17 - Motor 2 Winding short 4-8-20 10.34.33.pdf,pdf,334239,a8df94c2e40d8e3847db157e6df3bee7957eec39d7e1d3dffc35577381ca421d,metadata_or_documentation,nr_17_motor_2_winding_short_4_8_20_10_34,documentation_or_metadata_file
nln_emp,Nr 18 - Motor 2 Original motor back 5-8-20.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 18 - Motor 2 Original motor back 5-8-20.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 18 - Motor 2 Original motor back 5-8-20.pdf,pdf,379197,cffa3d85e8396f763f32c041d01864bbec85fe1db12e74ff697be32d80c22981,metadata_or_documentation,nr_18_motor_2_original_motor_back_5_8_20,documentation_or_metadata_file
nln_emp,Nr 2 - Motor 2 Impeller 1 15-07-20 14.01.42.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 2 - Motor 2 Impeller 1 15-07-20 14.01.42.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 2 - Motor 2 Impeller 1 15-07-20 14.01.42.pdf,pdf,328690,6b1ca17e33dea1529e5f4fec18a3e40a117bcb7c3651500d236ae983f1c92c48,metadata_or_documentation,nr_2_motor_2_impeller_1_15_07_20_14_01,documentation_or_metadata_file
nln_emp,Nr 3 - Motor 2 Impeller 2 16-7-20 10.26.37.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 3 - Motor 2 Impeller 2 16-7-20 10.26.37.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 3 - Motor 2 Impeller 2 16-7-20 10.26.37.pdf,pdf,357339,b7e0409c6a928567c87f44961c52e87262b3e7e0a94f13536b32cd16f9fbfa36,metadata_or_documentation,nr_3_motor_2_impeller_2_16_7_20_10_26,documentation_or_metadata_file
nln_emp,Nr 4 - Motor 2 Impeller 3 20-7-20 8.27.59.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 4 - Motor 2 Impeller 3 20-7-20 8.27.59.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 4 - Motor 2 Impeller 3 20-7-20 8.27.59.pdf,pdf,355907,d11cb0b221b716bd168f65060d059bd62ab01f44939be4918c97a1f72379fcfb,metadata_or_documentation,nr_4_motor_2_impeller_3_20_7_20_8_27,documentation_or_metadata_file
nln_emp,Nr 5 - Motor 2 BPFO 1 1 20-7-20 13.48.37.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 5 - Motor 2 BPFO 1 1 20-7-20 13.48.37.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 5 - Motor 2 BPFO 1 1 20-7-20 13.48.37.pdf,pdf,331363,3b5dfb5692612472b8ce83133e4a9e57626ba9459b52adf766e1395dc501a93f,metadata_or_documentation,nr_5_motor_2_bpfo_1_1_20_7_20_13_48,documentation_or_metadata_file
nln_emp,Nr 6 - Motor 2 BPFO 3 21-7-20 13.19.04.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 6 - Motor 2 BPFO 3 21-7-20 13.19.04.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 6 - Motor 2 BPFO 3 21-7-20 13.19.04.pdf,pdf,319368,1db731ff554aa5cdf4674bb0a0007c37c252a2561617d48be6ceeefb2bc09886,metadata_or_documentation,nr_6_motor_2_bpfo_3_21_7_20_13_19,documentation_or_metadata_file
nln_emp,Nr 7 - Motor 2 BPFI 1 27-7-20 8.30.35.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 7 - Motor 2 BPFI 1 27-7-20 8.30.35.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 7 - Motor 2 BPFI 1 27-7-20 8.30.35.pdf,pdf,318993,d5809aad01483b2c41c70983f54fa0a55de3547ccf505f833bef4da555f06c77,metadata_or_documentation,nr_7_motor_2_bpfi_1_27_7_20_8_30,documentation_or_metadata_file
nln_emp,Nr 8 - Motor 2 BPFI 2 27-7-20 11.11.53.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 8 - Motor 2 BPFI 2 27-7-20 11.11.53.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 8 - Motor 2 BPFI 2 27-7-20 11.11.53.pdf,pdf,316052,c97cdf591aaa15bcea646e6f2f9f86bb36ebfcc949b37bec5f8d2c1799fd9d74,metadata_or_documentation,nr_8_motor_2_bpfi_2_27_7_20_11_11,documentation_or_metadata_file
nln_emp,Nr 9 - Motor 2 BPFI 3 27-7-20 13.15.23.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 9 - Motor 2 BPFI 3 27-7-20 13.15.23.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 2/Nr 9 - Motor 2 BPFI 3 27-7-20 13.15.23.pdf,pdf,314632,1e46f1c91477eff137271d9d9911646b12ba927e115447e3583787d4a52f3a0e,metadata_or_documentation,nr_9_motor_2_bpfi_3_27_7_20_13_15,documentation_or_metadata_file
nln_emp,Nr 1 - Motor 4 Healthy 1 14-7-20 15.26.36.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 1 - Motor 4 Healthy 1 14-7-20 15.26.36.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 1 - Motor 4 Healthy 1 14-7-20 15.26.36.pdf,pdf,317871,c5a7f4cd702296a9bc59c7badc3c76a485754f1e9269e4ab5fc4ef610756d9dc,metadata_or_documentation,nr_1_motor_4_healthy_1_14_7_20_15_26,documentation_or_metadata_file
nln_emp,Nr 10 - Motor 4 Parallel 4 27-7-20 8.45.19.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 10 - Motor 4 Parallel 4 27-7-20 8.45.19.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 10 - Motor 4 Parallel 4 27-7-20 8.45.19.pdf,pdf,329914,fee408ace94a4cc302dddfd2f722ba2b7a952c6a2be10a1ca4cd5ee540622402,metadata_or_documentation,nr_10_motor_4_parallel_4_27_7_20_8_45,documentation_or_metadata_file
nln_emp,Nr 11 - Motor 4 Combination 4 27-7-20 10.22.42.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 11 - Motor 4 Combination 4 27-7-20 10.22.42.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 11 - Motor 4 Combination 4 27-7-20 10.22.42.pdf,pdf,331686,509347d1b5d51af85e62675171a75d0ad069e6c0071207a7f619691c1761fab0,metadata_or_documentation,nr_11_motor_4_combination_4_27_7_20_10_22,documentation_or_metadata_file
nln_emp,Nr 12 - Motor 4 Combination 3 27-7-20 12.53.29.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 12 - Motor 4 Combination 3 27-7-20 12.53.29.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 12 - Motor 4 Combination 3 27-7-20 12.53.29.pdf,pdf,333212,f0f789a220746cf714af197c388b288f704a80313708b123da8d6eee36b3e838,metadata_or_documentation,nr_12_motor_4_combination_3_27_7_20_12_53,documentation_or_metadata_file
nln_emp,Nr 13 - Motor 4 Combination 2 27-7-20 13.23.01.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 13 - Motor 4 Combination 2 27-7-20 13.23.01.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 13 - Motor 4 Combination 2 27-7-20 13.23.01.pdf,pdf,329911,8f8c5c96cc8752cf3618d1c1bba045e3a177b31c1896aace2b9e1435917f389e,metadata_or_documentation,nr_13_motor_4_combination_2_27_7_20_13_23,documentation_or_metadata_file
nln_emp,Nr 14 - Motor 4 Combination 1 27-7-20 14.37.10.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 14 - Motor 4 Combination 1 27-7-20 14.37.10.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 14 - Motor 4 Combination 1 27-7-20 14.37.10.pdf,pdf,337962,f32880ea5f8448860578b914980e1f3e52d9321be00cbf3bc453e1e7919781cb,metadata_or_documentation,nr_14_motor_4_combination_1_27_7_20_14_37,documentation_or_metadata_file
nln_emp,Nr 15 - Motor 4 Unbalance 27-7-20 15.44.20.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 15 - Motor 4 Unbalance 27-7-20 15.44.20.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 15 - Motor 4 Unbalance 27-7-20 15.44.20.pdf,pdf,332047,3fc865c7be8fd31d9d481c443d7b006ab6cbc2a89dc2ebf57f62cce62c730c0a,metadata_or_documentation,nr_15_motor_4_unbalance_27_7_20_15_44,documentation_or_metadata_file
nln_emp,Nr 16 - Motor 4 Cavitation 30-7-20 13.27.55.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 16 - Motor 4 Cavitation 30-7-20 13.27.55.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 16 - Motor 4 Cavitation 30-7-20 13.27.55.pdf,pdf,317484,e105e4ca4df308fe4ef17d2891a63f82eb8ec71a50f865d0137eca44a142ac53,metadata_or_documentation,nr_16_motor_4_cavitation_30_7_20_13_27,documentation_or_metadata_file
nln_emp,Nr 17 - Motor 4 Original motor 4-8-20.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 17 - Motor 4 Original motor 4-8-20.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 17 - Motor 4 Original motor 4-8-20.pdf,pdf,327719,44d4b588a54a93eb86d97a0034ac9149d1ec435130646f8ea4825d73d821bfff,metadata_or_documentation,nr_17_motor_4_original_motor_4_8_20,documentation_or_metadata_file
nln_emp,Nr 2 - Motor 4 Angular 1 16-7-20 13.21.31.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 2 - Motor 4 Angular 1 16-7-20 13.21.31.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 2 - Motor 4 Angular 1 16-7-20 13.21.31.pdf,pdf,438194,066c416d51a00b7539224283cc1b8128280b978e9473e071d8295f0a9519752e,metadata_or_documentation,nr_2_motor_4_angular_1_16_7_20_13_21,documentation_or_metadata_file
nln_emp,Nr 3 - Motor 4 Angular 2 16-7-20 15.12.14.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 3 - Motor 4 Angular 2 16-7-20 15.12.14.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 3 - Motor 4 Angular 2 16-7-20 15.12.14.pdf,pdf,408381,a1d103a2efe87096204b9323118080f9fcd4aeeadf065de99e435921a2e2a82c,metadata_or_documentation,nr_3_motor_4_angular_2_16_7_20_15_12,documentation_or_metadata_file
nln_emp,Nr 4 - Motor 4 Angular 3 20-7-20 9.50.31.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 4 - Motor 4 Angular 3 20-7-20 9.50.31.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 4 - Motor 4 Angular 3 20-7-20 9.50.31.pdf,pdf,408712,aba47eecfe66329c2d0c7a4df5587791935d4bbfc4db55dd55f2e8f0dfd51cd1,metadata_or_documentation,nr_4_motor_4_angular_3_20_7_20_9_50,documentation_or_metadata_file
nln_emp,Nr 5 - Motor 4 Angular 4 20-7-20 11.23.30.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 5 - Motor 4 Angular 4 20-7-20 11.23.30.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 5 - Motor 4 Angular 4 20-7-20 11.23.30.pdf,pdf,565246,a60b177dfdec5419094d4dd4375485844f0cde1f74a519c5189cd4d6ee5287ec,metadata_or_documentation,nr_5_motor_4_angular_4_20_7_20_11_23,documentation_or_metadata_file
nln_emp,Nr 6 - Motor 4 Angular 5 20-7-20 14.32.54.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 6 - Motor 4 Angular 5 20-7-20 14.32.54.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 6 - Motor 4 Angular 5 20-7-20 14.32.54.pdf,pdf,338099,30501b876d1564343c99bc4208b25b0b07cc1da953e0f7dad492e2f475c78ae0,metadata_or_documentation,nr_6_motor_4_angular_5_20_7_20_14_32,documentation_or_metadata_file
nln_emp,Nr 7 - Motor 4 Parallel 1 21-7-20 11.12.44.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 7 - Motor 4 Parallel 1 21-7-20 11.12.44.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 7 - Motor 4 Parallel 1 21-7-20 11.12.44.pdf,pdf,326020,a4f5a74ff0230fa06d1c88d198ad2cd57af2857168ffe3627fb0bec821a41865,metadata_or_documentation,nr_7_motor_4_parallel_1_21_7_20_11_12,documentation_or_metadata_file
nln_emp,Nr 8 - Motor 4 Parallel 2 21-7-20 13.37.23.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 8 - Motor 4 Parallel 2 21-7-20 13.37.23.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 8 - Motor 4 Parallel 2 21-7-20 13.37.23.pdf,pdf,318748,88035ddd6942819cece6d9cdb1a0e516715b6b3ad3164a6048bacf107067b7e9,metadata_or_documentation,nr_8_motor_4_parallel_2_21_7_20_13_37,documentation_or_metadata_file
nln_emp,Nr 9 - Motor 4 Parallel 3 21-7-20 14.59.21.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 9 - Motor 4 Parallel 3 21-7-20 14.59.21.pdf,data/raw/nln_emp/Appendices/Reports/Alignment reports/Motor 4/Nr 9 - Motor 4 Parallel 3 21-7-20 14.59.21.pdf,pdf,318614,848f2131847c0300f0740b6b44c198868990b09313a5458e9119c3d453d518a6,metadata_or_documentation,nr_9_motor_4_parallel_3_21_7_20_14_59,documentation_or_metadata_file
nln_emp,Balance Impeller 1.pdf,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/nln_emp/Appendices/Reports/Balance reports/Balance Impeller 1.pdf,data/raw/nln_emp/Appendices/Reports/Balance reports/Balance Impeller 1.pdf,pdf,11341,247342e3efcffdac9596a77f025649a4238cec81c66f17e8fa5508715b09677d,metadata_or_documentation,balance_impeller_1,documentation_or_metadata_file
