relative_path,original_filename,top_level_key,channel_index,channel_name,channel_path,channel_device,channel_raster,channel_unit,channel_type_code,channel_x_index,channel_downsampling,n_samples,channel_min,channel_max,inferred_sensor_type,read_error
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16007,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16007,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256608,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16007,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256096,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256096,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16007,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16007,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256096,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256002,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256002,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256002,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256000,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256001,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16001,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
